Freq.,V(vin)/I(V1),
4.90E+04,(4.54908427806415e+001dB,1.49175936101514e+002?)
5.01E+04,(4.55524162650031e+001dB,1.48981998552973e+002?)
5.13E+04,(4.56117542837375e+001dB,1.48720868478222e+002?)
5.25E+04,(4.56681894142726e+001dB,1.48394039316738e+002?)
5.37E+04,(4.57210789536802e+001dB,1.48003340532646e+002?)
5.50E+04,(4.57698091890951e+001dB,1.47550921017590e+002?)
5.62E+04,(4.58137994929917e+001dB,1.47039230030821e+002?)
5.75E+04,(4.58525062058289e+001dB,1.46470995566692e+002?)
5.89E+04,(4.58854262559775e+001dB,1.45849200082129e+002?)
6.03E+04,(4.59121004562448e+001dB,1.45177053587593e+002?)
6.17E+04,(4.59321164089433e+001dB,1.44457964199964e+002?)
6.31E+04,(4.59451109483530e+001dB,1.43695506367694e+002?)
6.46E+04,(4.59507720512549e+001dB,1.42893387098835e+002?)
6.61E+04,(4.59488401532593e+001dB,1.42055410641371e+002?)
6.76E+04,(4.59391088207425e+001dB,1.41185442172653e+002?)
6.92E+04,(4.59214247447041e+001dB,1.40287371141266e+002?)
7.08E+04,(4.58956870427640e+001dB,1.39365074962633e+002?)
7.24E+04,(4.58618458774896e+001dB,1.38422383793574e+002?)
7.41E+04,(4.58199004217698e+001dB,1.37463047098340e+002?)
7.59E+04,(4.57698962234935e+001dB,1.36490702669823e+002?)
7.76E+04,(4.57119220408967e+001dB,1.35508848688121e+002?)
7.94E+04,(4.56461062354395e+001dB,1.34520819290491e+002?)
8.13E+04,(4.55726128200995e+001dB,1.33529763999557e+002?)
8.32E+04,(4.54916372670817e+001dB,1.32538631219465e+002?)
8.51E+04,(4.54034021800946e+001dB,1.31550155871158e+002?)
8.71E+04,(4.53081529328583e+001dB,1.30566851106389e+002?)
8.91E+04,(4.52061533680208e+001dB,1.29591003922281e+002?)
9.12E+04,(4.50976816399937e+001dB,1.28624674399281e+002?)
9.33E+04,(4.49830262723327e+001dB,1.27669698208322e+002?)
9.55E+04,(4.48624824861422e+001dB,1.26727691979223e+002?)
9.77E+04,(4.47363488414719e+001dB,1.25800061091217e+002?)
1.00E+05,(4.46049242195848e+001dB,1.24888009436328e+002?)
1.02E+05,(4.44685051609206e+001dB,1.23992550714155e+002?)
1.05E+05,(4.43273835619996e+001dB,1.23114520839157e+002?)
1.07E+05,(4.41818447246944e+001dB,1.22254591075185e+002?)
1.10E+05,(4.40321657433481e+001dB,1.21413281553160e+002?)
1.12E+05,(4.38786142091367e+001dB,1.20590974873314e+002?)
1.15E+05,(4.37214472067563e+001dB,1.19787929540494e+002?)
1.17E+05,(4.35609105757800e+001dB,1.19004293027395e+002?)
1.20E+05,(4.33972384076662e+001dB,1.18240114304570e+002?)
1.23E+05,(4.32306527491720e+001dB,1.17495355716401e+002?)
1.26E+05,(4.30613634835973e+001dB,1.16769904118231e+002?)
1.29E+05,(4.28895683626374e+001dB,1.16063581221062e+002?)
1.32E+05,(4.27154531634578e+001dB,1.15376153116665e+002?)
1.35E+05,(4.25391919477506e+001dB,1.14707338977719e+002?)
1.38E+05,(4.23609474018435e+001dB,1.14056818944991e+002?)
1.41E+05,(4.21808712393022e+001dB,1.13424241227106e+002?)
1.45E+05,(4.19991046497975e+001dB,1.12809228448450e+002?)
1.48E+05,(4.18157787802468e+001dB,1.12211383287868e+002?)
1.51E+05,(4.16310152363269e+001dB,1.11630293455340e+002?)
1.55E+05,(4.14449265943804e+001dB,1.11065536056411e+002?)
1.58E+05,(4.12576169154695e+001dB,1.10516681394971e+002?)
1.62E+05,(4.10691822548781e+001dB,1.09983296264648e+002?)
1.66E+05,(4.08797111617187e+001dB,1.09464946777654e+002?)
1.70E+05,(4.06892851644805e+001dB,1.08961200777899e+002?)
1.74E+05,(4.04979792393654e+001dB,1.08471629882587e+002?)
1.78E+05,(4.03058622591158e+001dB,1.07995811193640e+002?)
1.82E+05,(4.01129974207614e+001dB,1.07533328717276e+002?)
1.86E+05,(3.99194426513042e+001dB,1.07083774526920e+002?)
1.91E+05,(3.97252509908571e+001dB,1.06646749701587e+002?)
1.95E+05,(3.95304709531394e+001dB,1.06221865068864e+002?)
2.00E+05,(3.93351468635540e+001dB,1.05808741778786e+002?)
2.04E+05,(3.91393191753137e+001dB,1.05407011732175e+002?)
2.09E+05,(3.89430247642722e+001dB,1.05016317884541e+002?)
2.14E+05,(3.87462972032569e+001dB,1.04636314444298e+002?)
2.19E+05,(3.85491670167978e+001dB,1.04266666981927e+002?)
2.24E+05,(3.83516619172140e+001dB,1.03907052464797e+002?)
2.29E+05,(3.81538070230600e+001dB,1.03557159230590e+002?)
2.34E+05,(3.79556250609507e+001dB,1.03216686910704e+002?)
2.40E+05,(3.77571365517862e+001dB,1.02885346313611e+002?)
2.45E+05,(3.75583599823874e+001dB,1.02562859276877e+002?)
2.51E+05,(3.73593119635289e+001dB,1.02248958495446e+002?)
2.57E+05,(3.71600073753323e+001dB,1.01943387332801e+002?)
2.63E+05,(3.69604595009438e+001dB,1.01645899620756e+002?)
2.69E+05,(3.67606801493908e+001dB,1.01356259452868e+002?)
2.75E+05,(3.65606797684674e+001dB,1.01074240975805e+002?)
2.82E+05,(3.63604675484664e+001dB,1.00799628182412e+002?)
2.88E+05,(3.61600515175351e+001dB,1.00532214709750e+002?)
2.95E+05,(3.59594386293970e+001dB,1.00271803644916e+002?)
3.02E+05,(3.57586348441483e+001dB,1.00018207341118e+002?)
3.09E+05,(3.55576452028078e+001dB,9.97712472461323e+001?)
3.16E+05,(3.53564738962699e+001dB,9.95307537450251e+001?)
3.24E+05,(3.51551243292876e+001dB,9.92965660187742e+001?)
3.31E+05,(3.49535991800925e+001dB,9.90685319202396e+001?)
3.39E+05,(3.47519004562431e+001dB,9.88465078687606e+001?)
3.47E+05,(3.45500295472803e+001dB,9.86303587645127e+001?)
3.55E+05,(3.43479872747659e+001dB,9.84199579236307e+001?)
3.63E+05,(3.41457739402753e+001dB,9.82151870349896e+001?)
3.72E+05,(3.39433893719236e+001dB,9.80159361394239e+001?)
3.80E+05,(3.37408329700107e+001dB,9.78221036320621e+001?)
3.89E+05,(3.35381037523898e+001dB,9.76335962883345e+001?)
3.98E+05,(3.33352004001857e+001dB,9.74503293140916e+001?)
4.07E+05,(3.31321213045164e+001dB,9.72722264201212e+001?)
4.17E+05,(3.29288646149081e+001dB,9.70992199211812e+001?)
4.27E+05,(3.27254282901382e+001dB,9.69312508594520e+001?)
4.37E+05,(3.25218101522856e+001dB,9.67682691520531e+001?)
4.47E+05,(3.23180079448295e+001dB,9.66102337619444e+001?)
4.57E+05,(3.21140193956976e+001dB,9.64571128911381e+001?)
4.68E+05,(3.19098422862370e+001dB,9.63088841946529e+001?)
4.79E+05,(3.17054745271552e+001dB,9.61655350130427e+001?)
4.90E+05,(3.15009142425609e+001dB,9.60270626205934e+001?)
5.01E+05,(3.12961598633164e+001dB,9.58934744853905e+001?)
5.13E+05,(3.10912102309990e+001dB,9.57647885363828e+001?)
5.25E+05,(3.08860647138495e+001dB,9.56410334312685e+001?)
5.37E+05,(3.06807233361628e+001dB,9.55222488174994e+001?)
5.50E+05,(3.04751869226350e+001dB,9.54084855768680e+001?)
5.62E+05,(3.02694572592255e+001dB,9.52998060420090e+001?)
5.75E+05,(3.00635372721060e+001dB,9.51962841706562e+001?)
5.89E+05,(2.98574312262337e+001dB,9.50980056606208e+001?)
6.03E+05,(2.96511449450062e+001dB,9.50050679851779e+001?)
6.17E+05,(2.94446860522884e+001dB,9.49175803248433e+001?)
6.31E+05,(2.92380642378462e+001dB,9.48356633673963e+001?)
6.46E+05,(2.90312915468390e+001dB,9.47594489434851e+001?)
6.61E+05,(2.88243826934859e+001dB,9.46890794602977e+001?)
6.76E+05,(2.86173553983026e+001dB,9.46247070906982e+001?)
6.92E+05,(2.84102307473530e+001dB,9.45664926700954e+001?)
7.08E+05,(2.82030335707531e+001dB,9.45146042483520e+001?)
7.24E+05,(2.79957928361474e+001dB,9.44692152396327e+001?)
7.41E+05,(2.77885420510247e+001dB,9.44305021096556e+001?)
7.59E+05,(2.75813196655185e+001dB,9.43986415379693e+001?)
7.76E+05,(2.73741694647339e+001dB,9.43738069933634e+001?)
7.94E+05,(2.71671409366703e+001dB,9.43561646642229e+001?)
8.13E+05,(2.69602895985027e+001dB,9.43458686936126e+001?)
8.32E+05,(2.67536772604413e+001dB,9.43430556822767e+001?)
8.51E+05,(2.65473722027507e+001dB,9.43478384427866e+001?)
8.71E+05,(2.63414492379931e+001dB,9.43602990159456e+001?)
8.91E+05,(2.61359896274788e+001dB,9.43804809972593e+001?)
9.12E+05,(2.59310808186427e+001dB,9.44083812674215e+001?)
9.33E+05,(2.57268159691128e+001dB,9.44439412763346e+001?)
9.55E+05,(2.55232932241462e+001dB,9.44870380942389e+001?)
9.77E+05,(2.53206147174808e+001dB,9.45374755139081e+001?)
1.00E+06,(2.51188852720691e+001dB,9.45949755608964e+001?)
